Date,week_day,hour,state,road_id,km,city,cause_of_accident,type_of_accident,victims_condition,weather_timestamp,road_direction,wheather_condition,road_type,road_delineation,people,deaths,slightly_injured,severely_injured,uninjured,ignored,total_injured,vehicles_involved,latitude,longitude,regional,police_station
08/25/2023,friday,1:00:00 PM,BA,324,526,FEIRA DE SANTANA,Driver failed to keep distance from the vehicle in front,Rear-end collision,With injured victims,Day,Decreasing,Clear sky,Double,Not Reported,3,0,2,0,1,0,2,2,-12.3064,-38.89052,SPRF-BA,DEL01-BA
08/25/2023,friday,12:50:00 PM,MS,60,"160,6",CAMAPUA,Driver was sleeping,Head-on collision,With injured victims,Day,Decreasing,Clear sky,Simple,Not Reported,6,0,2,3,0,1,5,2,-19.42833,-53.75003,SPRF-MS,DEL06-MS
08/25/2023,friday,1:35:00 PM,PE,101,44,IGARASSU,Acessing the road without seeing the presence of other vehicles,Broadside collision,With injured victims,Day,Decreasing,Sunny,Multiple,Not Reported,2,0,1,0,0,1,1,2,-7.847538,-34.90977,SPRF-PE,DEL01-PE
08/25/2023,friday,1:30:00 PM,PB,230,19,JOAO PESSOA,Driver failed to keep distance from the vehicle in front,Chain reaction crash (pile-up),Without victims,Day,Decreasing,Clear sky,Double,Straight,9,0,0,0,8,1,0,7,-7.1281,-34.8466,SPRF-PB,DEL01-PB
08/25/2023,friday,2:20:00 PM,RJ,101,330,RIO DE JANEIRO,Driver's lack of reaction,Collision with object,With injured victims,Day,Increasing,Cloudy,Double,Straight,2,0,0,1,1,0,1,2,-22.8685,-43.18549,SPRF-RJ,DEL02-RJ
08/25/2023,friday,9:40:00 AM,PR,369,56,BANDEIRANTES,Driver's lack of reaction,Side collision (same direction),With injured victims,Day,Increasing,Sunny,Simple,Not Reported,2,0,0,1,1,0,1,2,-23.10908,-50.3688,SPRF-PR,DEL07-PR
08/25/2023,friday,2:50:00 PM,RS,116,254,SAPUCAIA DO SUL,Driver's lack of reaction,Rear-end collision,With injured victims,Day,Increasing,Clear sky,Double,Straight,3,0,2,0,1,0,2,2,-29.83018,-51.17363,SPRF-RS,DEL01-RS
08/25/2023,friday,2:30:00 PM,GO,60,172,ABADIA DE GOIAS,Incompatible velocity,Run-off-road,With injured victims,Day,Decreasing,Clear sky,Double,Not Reported,2,0,1,0,1,0,1,1,-16.74484,-49.41895,SPRF-GO,DEL01-GO
08/25/2023,friday,2:30:00 PM,GO,40,18,LUZIANIA,Driver was sleeping,Rear-end collision,With injured victims,Day,Increasing,Clear sky,Double,Straight,1,0,1,0,0,0,1,1,-16.19349,-47.92558,SPRF-DF,DEL01-DF
08/25/2023,friday,3:25:00 PM,BA,116,421,FEIRA DE SANTANA,Bad positioning of traffic sign posts,Collision with object,With injured victims,Day,Increasing,Clear sky,Double,Not Reported,1,0,1,0,0,0,1,1,-12.21194,-38.96567,SPRF-BA,DEL02-BA
08/25/2023,friday,2:30:00 PM,PI,316,31,DEMERVAL LOBAO,Driver failed to keep distance from the vehicle in front,Rear-end collision,Without victims,Day,Increasing,Sunny,Simple,Not Reported,4,0,0,0,4,0,0,4,-5.339588,-42.69401,SPRF-PI,DEL01-PI
08/25/2023,friday,2:50:00 PM,RS,471,"173,3",RIO PARDO,Disrespecting the intersection,Broadside collision,With injured victims,Day,Increasing,Sunny,Simple,Intersection,2,0,0,1,1,0,1,2,-29.97412,-52.37148,SPRF-RS,DEL02-RS
08/25/2023,friday,7:30:00 AM,SC,282,"4,5",FLORIANOPOLIS,Acessing the road without seeing the presence of other vehicles,Side collision (same direction),With injured victims,Day,Decreasing,Drizzle,Multiple,Straight,3,0,1,0,2,0,1,3,-27.59265,-48.60403,SPRF-SC,DEL01-SC
08/25/2023,friday,3:50:00 PM,PR,116,2,CAMPINA GRANDE DO SUL,Accumulation of water on the road,Collision with object,With injured victims,Day,Decreasing,Rainy,Double,Curve,5,0,5,0,0,0,5,1,-25.06603,-48.57858,SPRF-PR,DEL01-PR
08/25/2023,friday,3:30:00 PM,PR,116,115,CURITIBA,Driver's lack of reaction,Collision with object,With injured victims,Day,Decreasing,Rainy,Double,Straight,1,0,1,0,0,0,1,1,-25.54577,-49.3035,SPRF-PR,DEL01-PR
08/25/2023,friday,4:22:00 PM,RN,226,10,MACAIBA,Driver failed to keep distance from the vehicle in front,Side collision (same direction),With injured victims,Day,Decreasing,Clear sky,Simple,Straight,3,0,1,1,1,0,2,3,-5.841991,-35.29535,SPRF-RN,DEL01-RN
08/25/2023,friday,4:35:00 PM,PE,101,70,RECIFE,Driver's lack of reaction,Rear-end collision,With injured victims,Day,Decreasing,Clear sky,Double,Straight,2,0,0,1,1,0,1,2,-8.067761,-34.94265,SPRF-PE,DEL01-PE
08/25/2023,friday,12:15:00 PM,ES,NA,NA,VITORIA,Driver's lack of reaction,Collision with object,Without victims,Day,Not informed,Drizzle,Simple,Straight,1,0,0,0,1,0,0,1,-20.31847,-40.30537,SPRF-ES,DEL01-ES
